hospital_id,day,open_minutes,hospital_open_cost,or_open_cost
0,0,435.0,1773.6721501361346,4944.043958215156
0,1,435.0,3736.1998274201687,4962.400631980432
0,2,465.0,3978.6883378626203,6004.053272471428
0,3,465.0,1653.7925655980875,5432.140187806105
0,4,450.0,3707.265672843653,9580.542103058433
1,0,480.0,2790.1975511090413,4635.004562971504
1,1,435.0,3766.28429861145,8193.944428237526
1,2,450.0,2928.297354798935,5135.3292387100355
1,3,420.0,3155.2800252664115,9289.822796622102
1,4,435.0,2859.447269993498,9767.891729109444
2,0,420.0,3661.232200768371,6792.820052619902
2,1,450.0,3334.7747973842543,9274.428881368789
2,2,465.0,2803.1507804510375,4030.8710245282887
2,3,450.0,3670.4020101288675,8919.6815044486
2,4,420.0,2113.2138306383363,5371.750969149542
